,cgpa,placement_exam_marks,placed
699,6.64,20,0
700,6.82,16,1
701,6.74,2,1
702,6.24,39,0
703,7.04,41,0
704,6.91,45,1
705,6.55,35,1
706,7.11,13,1
707,6.86,11,1
708,7.91,50,0
709,6.97,42,1
710,7.56,6,1
711,6.97,30,1
712,6.35,8,1
713,7.8,24,0
714,7.06,19,1
715,7.41,17,1
716,7.06,19,1
717,6.49,21,0
718,7.12,36,1
719,7.17,26,0
720,6.87,43,0
721,6.98,11,0
722,6.86,29,0
723,7.35,10,1
724,7.95,21,0
725,6.34,10,0
726,7.93,25,0
727,7.0,30,0
728,6.63,23,0
729,6.79,58,1
731,6.74,5,0
732,7.26,55,1
733,7.07,10,0
734,6.77,50,1
735,7.23,39,1
736,6.86,24,1
737,6.52,12,1
738,7.04,17,1
739,6.34,39,0
740,6.21,74,1
741,7.58,66,0
742,6.79,29,0
743,7.62,15,1
744,7.49,58,0
745,6.82,13,1
746,6.72,25,1
747,6.26,18,0
748,7.02,9,0
749,7.31,61,1
750,6.43,8,1
751,6.69,20,1
752,7.37,35,0
753,6.87,42,0
754,7.91,17,0
755,6.94,26,0
756,7.41,30,1
757,6.84,15,0
758,6.55,29,0
759,6.55,22,1
760,7.13,48,1
761,8.02,6,0
762,6.79,14,1
763,7.16,59,1
764,6.47,70,1
765,6.55,28,0
766,7.17,34,0
767,7.33,31,0
768,6.55,63,1
769,6.68,18,1
770,7.33,67,1
772,6.63,26,0
773,8.06,79,0
774,6.93,69,0
775,6.76,24,0
776,7.08,30,0
777,7.67,23,0
778,6.98,34,0
779,6.39,32,0
780,5.62,31,0
781,7.17,49,1
782,7.65,41,0
783,6.23,24,1
784,6.19,19,0
785,6.07,29,1
786,7.5,10,1
787,7.02,9,0
788,6.54,19,0
789,6.46,74,0
790,7.48,47,0
791,7.65,12,1
792,7.92,32,0
793,7.23,9,0
794,6.24,17,1
795,7.0,9,1
796,6.02,60,0
797,8.14,20,1
798,5.86,56,0
799,6.89,53,1
800,6.5,28,0
801,6.31,14,0
802,6.1,16,0
803,7.19,20,1
804,6.49,81,0
805,6.23,13,0
806,6.39,15,0
807,7.16,19,1
808,7.68,31,0
809,6.39,22,1
810,7.14,21,1
811,8.04,14,0
812,5.99,23,0
813,7.43,52,1
814,7.78,17,1
815,5.27,43,0
816,7.19,23,1
817,7.84,26,0
818,5.52,62,0
819,6.93,10,0
820,6.27,16,0
821,6.1,9,0
822,7.33,32,1
823,6.67,18,0
824,7.48,27,1
825,6.3,23,0
826,7.05,32,0
827,6.46,21,0
828,6.44,63,1
829,6.87,37,0
830,6.46,28,0
831,6.81,55,1
832,6.91,59,0
833,7.29,23,1
834,6.22,52,1
835,6.67,65,1
836,7.09,33,1
837,6.65,24,0
838,6.84,32,0
839,6.44,24,1
840,6.89,22,1
841,7.45,27,1
842,7.33,14,1
843,6.31,60,0
844,7.62,18,1
845,5.98,36,0
847,7.2,54,1
848,7.2,27,1
849,7.89,8,1
850,8.39,37,1
851,6.29,17,0
852,6.54,43,1
853,7.74,22,0
854,5.83,68,1
855,7.89,9,1
856,7.52,6,1
857,5.72,64,1
858,7.51,26,0
859,6.52,22,0
860,7.51,21,0
861,6.32,28,0
862,6.04,37,1
863,8.04,2,1
864,6.32,5,0
865,6.77,16,0
866,7.29,35,0
867,8.04,26,0
868,7.33,36,0
869,5.51,58,1
870,6.67,15,1
871,6.56,60,0
872,6.95,54,0
873,7.9,42,1
874,6.6,24,0
875,5.73,16,1
876,6.33,20,0
877,6.32,9,0
878,6.98,34,0
879,6.83,31,0
880,6.4,13,0
881,7.72,42,0
882,7.25,35,1
883,7.98,6,1
884,7.11,4,1
885,7.13,16,1
886,7.22,17,1
887,7.19,17,1
888,7.62,23,1
889,7.39,38,0
890,7.73,30,0
891,7.42,26,1
892,5.96,18,1
893,7.07,32,1
894,6.5,16,0
895,7.82,35,1
896,5.73,38,0
897,7.13,35,1
898,7.14,18,1
899,7.62,8,1
900,6.08,19,1
901,7.1,50,1
902,7.03,42,1
903,7.56,28,1
904,7.36,32,0
905,7.08,29,0
906,7.56,34,1
907,7.03,44,1
908,6.06,17,1
909,6.57,11,1
910,7.82,29,1
911,7.45,36,1
912,7.48,38,1
913,6.78,7,1
914,6.97,25,0
915,6.88,34,0
916,6.88,11,1
918,7.09,9,0
919,6.59,21,0
920,7.97,52,1
921,6.91,38,1
922,7.68,23,1
923,6.52,10,0
924,6.85,23,1
925,6.91,56,1
926,7.02,14,0
927,7.37,52,1
928,6.63,32,0
929,6.89,25,0
930,6.94,7,1
931,7.19,33,0
932,6.89,71,0
933,6.01,9,0
934,7.15,9,0
935,8.12,37,1
936,7.32,20,0
937,6.42,34,0
938,6.27,24,0
939,6.98,41,0
940,6.16,38,0
941,7.18,8,0
942,7.03,6,0
943,7.36,2,0
944,7.21,21,1
945,6.71,26,1
946,7.95,12,0
947,6.49,70,0
948,6.38,15,0
949,7.94,11,0
950,6.65,33,1
951,7.52,48,1
952,7.71,25,1
953,6.91,44,0
954,8.0,39,1
955,7.2,26,1
956,6.86,21,0
957,6.51,27,1
958,7.43,11,0
959,6.76,27,1
960,6.81,10,1
961,7.65,9,0
962,7.09,46,1
963,6.74,8,0
964,8.09,54,1
965,7.37,52,1
966,6.24,72,1
967,7.35,59,0
968,6.84,26,0
969,6.86,41,0
970,7.28,42,1
971,6.69,18,1
972,7.02,18,0
973,6.1,37,1
974,6.42,38,0
975,8.43,25,1
976,6.96,48,0
977,7.18,49,0
978,6.78,12,0
979,7.0,13,1
980,6.18,27,0
981,8.06,37,0
982,6.87,22,0
983,6.81,11,1
984,6.89,16,1
985,7.1,26,0
986,7.09,19,1
987,6.77,62,0
988,5.64,37,1
989,6.23,31,0
990,6.17,33,1
991,7.04,57,0
992,6.26,12,0
993,6.73,21,1
994,6.48,63,0
995,8.87,44,1
996,9.12,65,1
997,4.89,34,0
998,8.62,46,1
999,4.9,10,1
